##=====================---------------------------------=======================#
##===----                  pre-anniversary wordsigns                    ----===#
##=====================---------------------------------=======================#
#  from gregg.angelfishy.net
#    word signs summaried in a table from the pre-anniversary manual
#    also from pre-aniversary reporting book

# english   = dictionary spelling
# gregg     = specialized gregg outline spelling
# rf        = reference work
#    pm     : pre-anniversary manual
#    pr     : pre-anniversary reporters manual
#    sd     : simplified dictionary
# pgs       = page in reference work
# t         = w=wordsign, p=phrase, -=normal
# d         = difficulty to write (simple, moderate, hard)
# s         = simplification (*=made harder by simplified, -=consistent)
# -
# -
# co        = commonality (01=top100, 05=top500, 10=top1000, 50=top5000)
#

#-------english-------- | --------gregg--------- | rf pgs t |  d  s  -  -  co  |
skill                   | >.s.k.l                | pb 082 - |  s  *  -  -  --  |
do you                  | >.d.u.u                | pm 024 p |  -  -  -  -  --  |
you have                | >.u.v                  | pm 024 p |  -  -  -  -  --  |
you have not            | >.u.v.n                | pm 024 p |  -  -  -  -  --  |
we have                 | >.u.e.v                | pm 024 p |  -  -  -  -  --  |
we have not             | >.u.e.v.n              | pm 024 p |  -  -  -  -  --  |
you can not             | >.u.k.n                | pm 024 p |  -  -  -  -  --  |
we can not              | >.u.e.k.n              | pm 024 p |  -  -  -  -  --  |
we will                 | >.u.e.l                | pm 024 p |  -  -  -  -  --  |
from you                | >.f.m.u                | pm 024 p |  -  -  -  -  --  |
your letter             | >.u.l.e                | pm 024 p |  -  -  -  -  --  |
if you have             | >.e.f.u.v              | pm 024 p |  -  -  -  -  --  |
if you will             | >.e.f.u.l              | pm 024 p |  -  -  -  -  --  |
if you can              | >.e.f.u.k              | pm 024 p |  -  -  -  -  --  |
when                    | >.e.n                  | pm 024 w |  -  -  -  -  --  |
what                    | >.o.t                  | pm 024 w |  -  -  -  -  --  |
won                     | >.u.n                  | pm 024 w |  -  -  -  -  --  |
one                     | >.u.n                  | pm 024 w |  -  -  -  -  --  |


##===[[ PRE MAN : CH05, PGS 032-032 ]]======================|==================#
# column 1
ask                     | >.s.k                  | pm 032 w |  -  -  -  -  --  |
business                | >.b.z                  | pm 032 w |  -  -  -  -  --  |
cause                   | >.k.z                  | pm 032 w |  -  -  -  -  --  |
because                 | >.k.z                  | pm 032 w |  -  -  -  -  --  |
course                  | >.k.r.z                | pm 032 w |  -  -  -  -  --  |
desire                  | >.d.z                  | pm 032 w |  -  -  -  -  --  |
else                    | >.l.z                  | pm 032 w |  -  -  -  -  --  |
list                    | >.l.z                  | pm 032 w |  -  -  -  -  --  |
inclose                 | >.n.k                  | pm 032 w |  -  -  -  -  --  |
instant                 | >.n.z                  | pm 032 w |  -  -  -  -  --  |
instance                | >.n.z                  | pm 032 w |  -  -  -  -  --  |
is                      | >.s                    | pm 032 w |  -  -  -  -  --  |
his                     | >.s                    | pm 032 w |  -  -  -  -  --  |
long                    | >.l.ng                 | pm 032 w |  -  -  -  -  --  |
must                    | >.m.z                  | pm 032 w |  -  -  -  -  --  |
next                    | >.n.e.z                | pm 032 w |  -  -  -  -  --  |
other                   | >.u.th                 | pm 032 w |  -  -  -  -  --  |
receive                 | >.r.z.e                | pm 032 w |  -  -  -  -  --  |
some                    | >.s.m                  | pm 032 w |  -  -  -  -  --  |
soon                    | >.s.n                  | pm 032 w |  -  -  -  -  --  |
speak                   | >.s.p                  | pm 032 w |  -  -  -  -  --  |
speech                  | >.s.p                  | pm 032 w |  -  -  -  -  --  |
state                   | >.s.t                  | pm 032 w |  -  -  -  -  --  |
such                    | >.s.ch                 | pm 032 w |  -  -  -  -  --  |
# column 2
than                    | >.tn                   | pm 032 w |  -  -  -  -  --  |
then                    | >.tn                   | pm 032 w |  -  -  -  -  --  |
that                    | >.th.a                 | pm 032 w |  -  -  -  -  --  |
their                   | >.ht                   | pm 032 w |  -  -  -  -  --  |
there                   | >.ht                   | pm 032 w |  -  -  -  -  --  |
their                   | >.tm                   | pm 032 w |  -  -  -  -  --  |
they                    | >.th.e                 | pm 032 w |  -  -  -  -  --  |
thing                   | >.th.>                 | pm 032 w |  -  -  -  -  --  |
think                   | >.th.>                 | pm 032 w |  -  -  -  -  --  |
this                    | >.ts                   | pm 032 w |  -  -  -  -  --  |
those                   | >.th.z                 | pm 032 w |  -  -  -  -  --  |
was                     | >.o.z                  | pm 032 w |  -  -  -  -  --  |
is the                  | >.s.th                 | pm 032 p |  -  -  -  -  --  |
is this                 | >.s.ts                 | pm 032 p |  -  -  -  -  --  |
is there                | >.s.ht                 | pm 032 p |  -  -  -  -  --  |
there is                | >.ht.s                 | pm 032 p |  -  -  -  -  --  |
this is                 | >.ts.s                 | pm 032 p |  -  -  -  -  --  |
in these                | >.n.th.e.s             | pm 032 p |  -  -  -  -  --  |
for that                | >.f.th.a               | pm 032 p |  -  -  -  -  --  |
he was                  | >.e.o.z                | pm 032 p |  -  -  -  -  --  |
there was               | >.r.o.z                | pm 032 p |  -  -  -  -  --  |
in such                 | >.n.z.ch               | pm 032 p |  -  -  -  -  --  |


##===[[ PRE MAN : CH06, PGS 037-037 ]]======================|==================#
# column 1
allow                   | >.a.l                  | pm 037 w |  -  -  -  -  --  |
behind                  | >.b.i                  | pm 037 w |  -  -  -  -  --  |
find                    | >.f.i                  | pm 037 w |  -  -  -  -  --  |
how                     | >.a.u                  | pm 037 w |  -  -  -  -  --  |
out                     | >.a.u                  | pm 037 w |  -  -  -  -  --  |
kind                    | >.k.i                  | pm 037 w |  -  -  -  -  --  |
light                   | >.l.i                  | pm 037 w |  -  -  -  -  --  |
like                    | >.l.A                  | pm 037 w |  -  -  -  -  --  |
new                     | >.n.u                  | pm 037 w |  -  -  -  -  --  |
# column 2
point                   | >.u.e                  | pm 037 w |  -  -  -  -  --  |
appoint                 | >.u.e                  | pm 037 w |  -  -  -  -  --  |
right                   | >.r.i                  | pm 037 w |  -  -  -  -  --  |
write                   | >.r.i                  | pm 037 w |  -  -  -  -  --  |
side                    | >.s.i                  | pm 037 w |  -  -  -  -  --  |
use                     | >.e.u                  | pm 037 w |  -  -  -  -  --  |
usual                   | >.u.sh                 | pm 037 w |  -  -  -  -  --  |
usually                 | >.u.sh                 | pm 037 w |  -  -  -  -  --  |
wish                    | >.u.sh                 | pm 037 w |  -  -  -  -  --  |
while                   | >.i.l                  | pm 037 w |  -  -  -  -  --  |
why                     | >.i                    | pm 037 w |  -  -  -  -  --  |
wife                    | >.i.f                  | pm 037 w |  -  -  -  -  --  |
# column 3
i find                  | >.a.f.i                | pm 037 p |  -  -  -  -  --  |
wire                    | >.i.r                  | pm 037 w |  -  -  -  -  --  |
please wire             | >.p.l.i.r              | pm 037 p |  -  -  -  -  --  |
please write            | >.p.l.r.i              | pm 037 p |  -  -  -  -  --  |
write me                | >.r.i.m.e              | pm 037 p |  -  -  -  -  --  |
you kind letter         | >.u.k.i.l.e            | pm 037 p |  -  -  -  -  --  |
on this side            | >.o.n.th.s.s.i         | pm 037 p |  -  -  -  -  --  |
i would like            | >.a.d.l.a              | pm 037 p |  -  -  -  -  --  |


##===[[ PRE MAN : CH07, SEC 54, PGS 43-44 ]]===============| 10  50 100 500 br #
and                     | >.nd                   | pm 043 w |  w   p   -   -    |
end                     | >.nd                   | pm 043 w |  w   p   -   -    |
assist                  | >.z.s.t                | pm 043 w |  w   p   -   -    |
date                    | >.dd                   | pm 043 w |  w   p   -   -    |
did                     | >.dd                   | pm 043 w |  w   p   -   -    |
hand                    | >.h.nd                 | pm 043 w |  w   p   -   -    |
attention               | >.tn.sh                | pm 043 w |  w   p   -   -    |
definite                | >.df.n                 | pm 043 w |  w   p   -   -    |
agent                   | >.a.j                  | pm 043 w |  w   p   -   -    |
between                 | >.b.tn                 | pm 043 w |  w   p   -   -    |
devote                  | >.df.t                 | pm 043 w |  w   p   -   -    |
different               | >.df                   | pm 044 w |  w   p   -   -    |
difference              | >.df                   | pm 044 w |  w   p   -   -    |
difficulty              | >.df.k                 | pm 044 w |  w   p   -   -    |
society                 | >.s.z                  | pm 044 w |  w   p   -   -    |
time                    | >.tm                   | pm 044 w |  w   p   -   -    |
duty                    | >.dd.e                 | pm 044 w |  w   p   -   -    |
tomorrow                | >.tm.o                 | pm 044 w |  w   p   -   -    |
endure                  | >.nd.r                 | pm 044 w |  w   p   -   -    |
want                    | >.o.nd                 | pm 044 w |  w   p   -   -    |
existence               | >.e.s.z                | pm 044 w |  w   p   -   -    |
went                    | >.e.nt                 | pm 044 w |  w   p   -   -    |
gentlemen               | >.jd                   | pm 044 w |  w   p   -   -    |
messures                | >.m.z.s                | pm 044 w |  w   p   -   -    |
says                    | >.z.s                  | pm 044 w |  w   p   -   -    |
system                  | >.z.s                  | pm 044 w |  w   p   -   -    |
season                  | >.z.s.n                | pm 044 w |  w   p   -   -    |
and there               | >.nd.r                 | pm 044 p |  p   p   -   -    |
and there is            | >.nd.r.z               | pm 044 p |  p   p   -   -    |
and am                  | >.nd.m                 | pm 044 p |  p   p   -   -    |
and i am                | >.nd.a.m               | pm 044 p |  p   p   -   -    |
at hand                 | >.t.h.nd               | pm 044 p |  p   p   -   -    |
all my time             | >.o.m.a.tm             | pm 044 p |  p   p   -   -    |
at that time            | >.t.th.tm              | pm 044 p |  p   p   -   -    |
for the time            | >.f.th.tm              | pm 044 p |  p   p   -   -    |
in time                 | >.n.tm                 | pm 044 p |  p   p   -   -    |
your attention          | >.u.tn.sh              | pm 044 p |  p   p   -   -    |
kind attention          | >.k.i.nd.sh            | pm 044 p |  p   p   -   -    |
every attention         | >.e.v.tn.sh            | pm 044 p |  p   p   -   -    |
my attention            | >.m.a.tn.sh            | pm 044 p |  p   p   -   -    |


##===[[ PRE MAN : CH08, PGS 050-050 ]]======================|==================#
# column 1
certificate             | >.s.df                 | pm 050 w |  -  -  -  -  --  |
determine               | >.e.mm                 | pm 050 w |  -  -  -  -  --  |
firm                    | >.f.e.m                | pm 050 w |  -  -  -  -  --  |
first                   | >.f.e.s                | pm 050 w |  -  -  -  -  --  |
merchant                | >.m.e.ch.t             | pm 050 w |  -  -  -  -  --  |
# column 2
merchandise             | >.m.e.ch.d.i.z         | pm 050 w |  -  -  -  -  --  |
order                   | >.o.dd                 | pm 050 w |  -  -  -  -  --  |
organize                | >.o.g                  | pm 050 w |  -  -  -  -  --  |
organization            | >.o.g                  | pm 050 w |  -  -  -  -  --  |
question                | >.k.s                  | pm 050 w |  -  -  -  -  --  |
refer                   | >.r.f                  | pm 050 w |  -  -  -  -  --  |
reference               | >.r.f                  | pm 050 w |  -  -  -  -  --  |
# column 3
particular              | >.p.a.t                | pm 050 w |  -  -  -  -  --  |
territory               | >.t.e.t                | pm 050 w |  -  -  -  -  --  |
trust                   | >.t.r.z                | pm 050 w |  -  -  -  -  --  |
until                   | >.nt.e                 | pm 050 w |  -  -  -  -  --  |
word                    | >.u.d                  | pm 050 w |  -  -  -  -  --  |


##===[[ ANN DIC : PG 072 of 085 ]]==========================|==================#
ridiculous              | >.r.e.d.e.k            | ad 072 w |  -  -  -  -  --  |
river                   | >.r.e.v                | ad 072 w |  -  -  -  -  --  |
scientific              | >.s.ae.n.df            | ad 072 w |  -  -  -  -  --  |
single                  | >.s.i.ng               | ad 072 w |  -  -  -  -  --  |
specify                 | >.z.p.e.z              | ad 072 w |  -  -  -  -  --  |
struggle                | >.s.p.g.l              | ad 072 w |  -  -  -  -  --  |
suffer                  | >.s.e.f                | ad 072 w |  -  -  -  -  --  |
travel                  | >.t.r.a.v              | ad 072 w |  -  -  -  -  --  |
traveling               | >.t.r.a.v.>            | ad 072 w |  -  -  -  -  --  |
unanimous               | >.e.u.n.a.n            | ad 072 w |  -  -  -  -  --  |
union                   | >.e.u.n                | ad 072 w |  -  -  -  -  --  |
unpleasant              | >.n.p.l.e.z            | ad 072 w |  -  -  -  -  --  |
vulgar                  | >.v.u.l                | ad 072 w |  -  -  -  -  --  |
absence                 | >.a.b.z                | ad 072 w |  -  -  -  -  --  |
absolute                | >.a.b.z.u              | ad 072 w |  -  -  -  -  --  |
accident                | >.a.k.s                | ad 072 w |  -  -  -  -  --  |
accomplish              | >.a.c.p                | ad 072 w |  -  -  -  -  --  |
adequate                | >.a.d.e.k              | ad 072 w |  -  -  -  -  --  |
administration          | >.a.m                  | ad 072 w |  -  -  -  -  --  |
affidavit               | >.a.f.df               | ad 072 w |  -  -  -  -  --  |
algebra                 | >.a.l.j                | ad 072 w |  -  -  -  -  --  |
animal                  | >.a.n.e.m              | ad 072 w |  -  -  -  -  --  |
appreciate              | >.a.p.r.e.sh           | ad 072 w |  -  -  -  -  --  |
appreciation            | >.a.p.r.e.sh           | ad 072 w |  -  -  -  -  --  |
artificial              | >.ar.t.v.e.sh          | ad 072 w |  -  -  -  -  --  |
association             | >.a.s.o.sh             | ad 072 w |  -  -  -  -  --  |
atmosphere              | >.a.t.m.o.s            | ad 072 w |  -  -  -  -  --  |
attitude                | >.a.t.e.d              | ad 072 w |  -  -  -  -  --  |
benefit                 | >.b.n.f                | ad 072 w |  -  -  -  -  --  |
beneficial              | >.b.n.f.e              | ad 072 w |  -  -  -  -  --  |
calendar                | >.k.a.l.e.nd           | ad 072 w |  -  -  -  -  --  |
cancel                  | >.k.a.n.z              | ad 072 w |  -  -  -  -  --  |
cancellation            | >.k.a.n.z.sh           | ad 072 w |  -  -  -  -  --  |
capable                 | >.k.a.p                | ad 072 w |  -  -  -  -  --  |
carnival                | >.k.r.n.e.v            | ad 072 w |  -  -  -  -  --  |
celebrate               | >.z.e.l.e.b            | ad 072 w |  -  -  -  -  --  |
commercial              | >.k.m.e.sh             | ad 072 w |  -  -  -  -  --  |
confidential            | >.k.f.tn.sh            | ad 072 w |  -  -  -  -  --  |
consequence             | >.k.s.e.k              | ad 072 w |  -  -  -  -  --  |
consequently            | >.k.s.e.k.e            | ad 072 w |  -  -  -  -  --  |
contemplate             | >.k.tm.p               | ad 072 w |  -  -  -  -  --  |
cordial                 | >.k.o.j                | ad 072 w |  -  -  -  -  --  |
corporation             | >.k.r.p                | ad 072 w |  -  -  -  -  --  |
cylinder                | >.z.e.l.e.nd           | ad 072 w |  -  -  -  -  --  |
delicate                | >.d.e.l.e.k            | ad 072 w |  -  -  -  -  --  |



##=====================---------------------------------=======================#
##===----                    pre-anniversary manual                     ----===#
##=====================---------------------------------=======================#

##===[[ PRE MAN : CH01, PGS 004-004 ]]======================| co sp            #
# column 1
knee                    | >.k.e                  | pm 004 - |  -  -  -  -  --  |


##===[[ PG1/CO1 num 001-018 (18) ]]========================| 10  50 100 500 br #
a                       | >                                |  +   -   -   -    |
able                    | >.a.b.l                          |  +   -   -   -    |
about                   | >.a.b                            |  +   -   -   -    |
above                   | >.a.b.u.v                        |  +   -   -   -    |
accept                  | >.a.k.z.e.p.t                    |  +   -   -   -    |
accordance              | >.a.k.o.r.bd.n.z                 |  +   -   -   -    |
account                 | >.a.k.nt                         |  +   s   -   -    |
acknowledge             | >.a.k                            |  +   -   -   -    |
action                  | >.a.k.sh                         |  +   -   -   -    |
additional              | >.a.d.sh.l                       |  +   -   -   -    |
address                 | >.a.d.r.e.z                      |  +   -   -   -    |
addressed               | >.a.d.r.e.z.t                    |  +   -   -   -    |
advance                 | >.a.d.v.a.n.z                    |  +   -   -   -    |
advertising             | >.a.v.t.>                        |  +   s   -   -    |
advise                  | >.a.d.v.i.s                      |  +   -   -   -    |
advised                 | >.a.d.v.i.s.d                    |  +   -   -   -    |
after                   | >.a.f.t                          |  +   -   -   -    |
again                   | >.a.g.n                          |  +   -   -   -    |

##===[[ PG1/CO2 num 019-036 (18) ]]========================| 10  50 100  br  |=#
against                 | >.a.g.n.z                        |  +   s   -   -    |
ago                     | >.a.g.o                          |  +   -   -   -    |
all                     | >.o                              |  -   x   -   x  - |
along                   | >.a.l.o.ng                       |  -   -   -   x  - |
already                 | >.u.r.e.d.e                      |  -   -   -   x  - |
also                    | >.o.s.o                          |  -   -   -   x  - |
although                | >.o.th.o                         |  -   -   -   x  - |
always                  | >.o.l.aw.z.                      |  -   -   -   x  - |
am                      | >.m                              |  -   -   x   x  - |
amount                  | >.a.m.a.u.nt                     |  -   -   -   x  - |
an                      | >                                |  -   x   -   x  - |
and                     | >.nd                             |  x   -   -   x  x |
another                 | >.a.n.u.th                       |  -   -   -   x  - |
answer                  | >.a.n.s.e.r                      |  -   -   -   x  - |
any                     | >.n.e                            |  -   -   x   x  - |
anything                | >.n.e.th.>                       |  -   -   -   x  - |
appreciate              | >.a.p.r.e.sh.ai.t                |  -   -   -   x  - |
appreciated             | >.a.p.r.e.sh.ai.dd               |  -   -   -   x  - |

##===[[ PG1/CO3 num 037-054 (18) ]]========================| 10  50 100  br  |=#
approval                | >.a.p.r.u.v.l                    |  -   -   -   x  - |
are                     | >.r                              |  -   x   -   x  - |
arrange                 | >.a.r.a.n.j                      |  -   -   -   x  - |
as                      | >.a.s                            |  -   x   -   x  - |
ask                     | >.a.s.k                          |  -   -   x   x  - |
asked                   | >.a.s.k.t                        |  -   -   -   x  - |
asking                  | >.a.s.k.>                        |  -   -   -   x  - |
assure                  | >.a.sh.u.r                       |  -   -   -   x  - |
at                      | >.t                              |  -   x   -   x  - |
attached                | >.a.t.a.sh.t                     |  -   -   -   x  - |
attention               | >.a.tn.sh                        |  -   -   -   x  - |
back                    | >.b.a.k                          |  -   -   x   x  - |
bad                     | >.b.a.d                          |  -   -   -   x  - |
balance                 | >.b.a.l.a.n.z                    |  -   -   -   x  - |
bank                    | >.b.a.nk                         |  -   -   -   x  - |
basis                   | >.b.a.s                          |  -   -   -   x  - |
be                      | >.b                              |  -   x   -   x  - |
because                 | >.b.c.o.z                        |  -   -   -   x  - |

##===[[ PG2/CO1 num 055-078 (24) ]]========================| 10  50 100  br |==#
bed                     | >.b.e.d                          |  -   -   -   x  - |
been                    | >.b.e.n                          |  -   x   -   x  - |
before                  | >.b.f                            |  -   -   -   x  - |
being                   | >.b.>                            |  -   -   -   x  - |
believe                 | >.b.l.e.v                        |  -   -   -   x  - |
best                    | >.b.e.z.t                        |  -   -   -   x  - |
better                  | >.b.e.t.r                        |  -   -   -   x  - |
between                 | >.b.t.ew.n                       |  -   -   -   x  - |
big                     | >.b.e.g                          |  -   -   -   x  - |
bill                    | >.b.e.l                          |  -   -   -   x  - |
book                    | >.b.u.k                          |  -   -   -   x  - |
books                   | >.b.u.k.s                        |  -   -   -   x  - |
both                    | >.b.o.th                         |  -   -   -   x  - |
boy                     | >.b.o.e                          |  -   -   -   x  - |
bring                   | >.b.r.e.ng                       |  -   -   -   x  - |
business                | >.b.s                            |  -   -   -   x  - |
but                     | >.b.t                            |  -   x   -   x  - |
by                      | >.b                              |  -   x   -   x  - |
call                    | >.c.u.l                          |  -   -   -   x  - |
called                  | >.c.u.l.bd                       |  -   -   -   x  - |
calling                 | >.c.u.l.>                        |  -   -   -   x  - |
can                     | >.k                              |  -   -   x   x  - |
cannot                  | >.k.n                            |  -   -   -   x  - |
car                     | >.k.a.r                          |  -   -   -   x  - |

##===[[ PG2/CO2 num 079-102 (24) ]]========================| 10  50 100  br |==#
card                    | >.k.a.r.bd                       |  -   -   -   x  - |
care                    | >.k.a.r                          |  -   -   -   x  - |
careful                 | >.k.a.r.f                        |  -   -   -   x  - |
case                    | >.k.a.s                          |  -   -   -   x  - |
cases                   | >.k.a.s.z                        |  -   -   -   x  - |
cash                    | >.k.a.sh                         |  -   -   -   x  - |
catalogue               | >.k.a.t.l.o.g                    |  -   -   -   x  - |
certain                 | >.z.e.r.tn                       |  -   -   -   x  - |
certainly               | >.z.e.r.tn.e                     |  -   -   -   x  - |
change                  | >.ch.a.n.j                       |  -   -   -   x  - |
charge                  | >.ch.a.r.j                       |  -   -   -   x  - |
charged                 | >.ch.a.r.j.d                     |  -   -   -   x  - |
charges                 | >.ch.a.r.j.s                     |  -   -   -   x  - |
check                   | >.ch.e.k                         |  -   -   -   x  - |
city                    | >.s.e.t.e                        |  -   -   -   x  - |
claim                   | >.k.l.a.m                        |  -   -   -   x  - |
class                   | >.k.l.a.z                        |  -   -   -   x  - |
close                   | >.k.l.u.z                        |  -   -   -   x  - |
collection              | >.k.o.l.e.k.sh                   |  -   -   -   x  - |
come                    | >.k.m                            |  -   -   x   x  - |
coming                  | >.k.m.>                          |  -   -   -   x  - |
company                 | >.k.p                            |  -   -   -   x  - |
complete                | >.k.p.l.e.t                      |  -   -   -   x  - |
condition               | >.k.d.sh                         |  -   -   -   x  - |


##===[[ PG2/CO3 num 103-126 (24) ]]========================| 10  50 100  br |==#
connection              | >.k.n.e.k.sh                     |  -   -   -   x  - |
consider                | >.k.s.e.d.r                      |  -   -   -   x  - |
consideration           | >.k.s.e.d.r.a.sh                 |  -   -   -   x  - |
contract                | >.k.t.r.k.t                      |  -   -   -   x  - |
convenience             | >.k.v.e.n                        |  -   -   -   x  - |
copies                  | >.k.o.p.e.s                      |  -   -   -   x  - |
copy                    | >.k.o.p.e                        |  -   -   -   x  - |
correct                 | >.k.o.r.e.k.t                    |  -   -   -   x  - |
correspondence          | >.k.r.e.z                        |  -   -   -   x  - |
cost                    | >.k.o.z.t                        |  -   -   -   x  - |
could                   | >.k.d                            |  -   -   x   x  - |
course                  | >.k.o.r.z                        |  -   -   -   x  - |
cover                   | >.k.v                            |  -   -   -   x  - |
covering                | >.k.u.v.r.>                      |  -   -   -   x  - |
credit                  | >.k.r.e.dd                       |  -   -   -   x  - |
customer                | >.k.u.s.tm.r                     |  -   -   -   x  - |
date                    | >.d.a.t                          |  -   -   -   x  - |
dated                   | >.d.a.dd                         |  -   -   -   x  - |
day                     | >.d.a                            |  -   -   -   x  - |
days                    | >.d.a.z                          |  -   -   -   x  - |
delay                   | >.d.l.a                          |  -   -   -   x  - |
delivery                | >.d.l.e.v.r.e                    |  -   -   -   x  - |
department              | >.d.p.t.mm                       |  -   -   -   x  - |
desire                  | >.d.z.i.r                        |  -   -   -   x  - |


##===[[ PG3/CO1 num 127-150 (24) ]]========================| 10  50 100  br |==#
did                     | >.d.e.d                          |  -   -   -   x  - |
different               | >.d.f.r.e.nt                     |  -   -   -   x  - |
direct                  | >.d.r.e.c.t                      |  -   -   -   x  - |
discount                | >.d.z.k.a.u.nt                   |  -   -   -   x  - |
do                      | >.d.u                            |  -   -   -   x  - |
does                    | >.d.u.s                          |  -   -   -   x  - |
doing                   | >.d.u.>                          |  -   -   -   x  - |
done                    | >.d.n                            |  -   -   -   x  - |
doubt                   | >.d.a.u.t                        |  -   -   -   x  - |
dozen                   | >.d.u.s.n                        |  -   -   -   x  - |
draft                   | >.d.r.a.f.t                      |  -   -   -   x  - |
duplicate               | >.d.u.p.l.e.c.a.t                |  -   -   -   x  - |
during                  | >.d.u.r.>                        |  -   -   -   x  - |
each                    | >.e.ch                           |  -   -   -   x  - |
earliest                | >.e.r.e.z.t                      |  -   -   -   x  - |
early                   | >.e.r.e                          |  -   -   -   x  - |
either                  | >.e.ht.r                         |  -   -   -   x  - |
enclose                 | >.n.k                            |  -   -   -   x  - |
enclosed                | >.n.k.d                          |  -   -   -   x  - |
enclosing               | >.n.k.>                          |  -   -   -   x  - |
enough                  | >.e.n.u.f                        |  -   -   -   x  - |
entire                  | >.nt.i.r                         |  -   -   -   x  - |
entirely                | >.nt.i.r.e                       |  -   -   -   x  - |
error                   | >.E.r.r                          |  -   -   -   x  - |


##===[[ PG3/CO2 num 151-174 (24) ]]========================| 10  50 100  br |==#
every                   | >.e.v                            |  -   -   -   x  - |
expect                  | >.e.z.p.k.t
expense                 | >.e.z.p.n.z
express                 | >.e.z.p.r.e.z
fact                    | >.f.a.k.t
factory                 | >.f.a.k.t.r.e
far                     | >.f.a.r
favor                   | >.f.a.v.r
feel                    | >.f.e.l
few                     | >.f.e.u
file                    | >.f.i.l
find                    | >.f.i.nd
first                   | >.f.e.r.z.t
following               | >.f.o.l.o.>   
for                     | >.f
form                    | >.f.m
forward                 | >.f.-.d
forwarded               | >.f.-.dd
found                   | >.f.a.u.nd
freight                 | >.f.r.a.t
from                    | >.f.m
full                    | >.f.u.l
furnish                 | >.f.n.sh
further                 | >.f.ht


##===[[ PG3/CO3 num 175-198 (24) ]]========================| 10  50 100  br |==#
future                  | >.f.e.u.t.r
general                 | >.j.e.n
gentleman               | >.j.m.a.n
get                     | >.g.e.t
getting                 | >.g.e.t.>   
give                    | >.g.e.v
given                   | >.g.e.v.n
giving                  | >.g.e.v.>   
glad                    | >.g.l
go                      | >.g.o
going                   | >.g.o.>   
good                    | >.g
goods                   | >.g.s
got                     | >.g.o.t
great                   | >.g.r.a.t
greatly                 | >.g.r.a.t.e
had                     | >.>.a.d
hand                    | >.h.nd
handle                  | >.h.nd.l
handling                | >.h.nd.l.>   
has                     | >.h.a.s
have                    | >.v
having                  | >.v.>   
he                      | >.h.e


##===[[ PG4/CO1 num 199-222 (24) ]]========================| 10  50 100  br |==#
hear                    | >.h.e.r
help                    | >.h.e.l.p
her                     | >.h.e.r
here                    | >.h.e.r
herewith                | >.h.e.r.e.th
high                    | >.h.i
him                     | >.h.e.m
his                     | >.s
hold                    | >.h.o.l.bd
hope                    | >.h.o.p
house                   | >.h.a.u.s
how                     | >.h.a.u
however                 | >.h.a.u.v
i                       | >.a
if                      | >.e.f
immediate               | >.e.m.e
in                      | >.n
indeed                  | >.nd.e.d
information             | >.n.f.m.sh
inquiry                 | >.n.k.ae
instructions            | >.n.s.t.r.k.sh.s
interest                | >.n.-.s.t
interested              | >.n.-.s.dd
into                    | >.nt.u


##===[[ PG4/CO2 num 223-246 (24) ]]========================| 10  50 100  br |==#
invoice                 | >.n.v.o.e.z
is                      | >.s
issue                   | >.e.sh.u
it                      | >.t
item                    | >.i.tm
items                   | >.i.tm.z
its                     | >.t.z 
just                    | >.j.u.s.t
keep                    | >.k.e.p
kind                    | >.k.i.nd
kindly                  | >.k.i.nd.e
know                    | >.k.o
large                   | >.l.a.r.j                        |  +   -   -   -    |
last                    | >.l.a.z                          |  +   s   -   -    |
later                   | >.l.a.t.r                        |  +   -   -   -    |
less                    | >.l.e.z                          |  +   -   -   -    |
let                     | >.l.e                            |  +   s   -   -    |
letter                  | >.l.e                            |  +   s   -   -    |
letters                 | >.l.e.z                          |  +   s   -   -    |
like                    | >.l.A                            |  3   s   -   -    |
line                    | >.l.i.n                          |  +   -   -   -    |
list                    | >.l.e.z.t                        |  +   -   -   -    |
little                  | >.l.e.t.l                        |  +   -   -   -    |
long                    | >.l.ng                           |  +   s   -   -    |


##===[[ PG4/CO3 num 247-270 (24) ]]========================| 10  50 100  br |==#
look                    | >.l.u.k                          |  3   -   -   -    |
lot                     | >.l.o.t                          |  +   -   -   -    |
made                    | >.m.a.d                          |  +   -   -   -    |
mail                    | >.m.a.l                          |  +   -   -   -    |
make                    | >.m.a.k                          |  3   -   -   -    |
making                  | >.m.a.k.>                        |  +   -   -   -    |
man                     | >.m.a.n                          |  3   -   -   -    |
many                    | >.mm.e                           |  +   -   -   -    |
material                | >.m.a.t.e.r.l                    |  +   -   -   -    |
matter                  | >.m.a.t                          |  +   s   -   -    |
matters                 | >.m.a.t.z                        |  +   s   -   -    |
may                     | >.m.a                            |  +   -   -   -    |
me                      | >.m.e                            |  2   -   -   -    |
meet                    | >.m.e.t                          |  +   -   -   -    |
meeting                 | >.m.e.t.>                        |  +   -   -   -    |
memorandum              | >.mm.o                           |  +   s   -   -    |
men                     | >.mm                             |  +   -   -   -    |
merchandise             | >.m.e.ch.d.i.z                   |  +   s   -   -    |
might                   | >.m.i.t                          |  +   -   -   -    |
mind                    | >.m.i.n                          |  +   s   -   -    |
money                   | >.mm.e                           |  +   -   -   -    |
month                   | >.mm.th                          |  +   -   -   -    |
months                  | >.mm.th.z                        |  +   -   -   -    |
