##=====================---------------------------------=======================#
##===----                  pre-anniversary wordsigns                    ----===#
##=====================---------------------------------=======================#
#  from gregg.angelfishy.net
#    word signs summaried in a table from the pre-anniversary manual
#    also from pre-aniversary reporting book

# english   = dictionary spelling
# gregg     = specialized gregg outline spelling
# rf        = reference work
#    pm     : pre-anniversary manual
#    pr     : pre-anniversary reporters manual
#    sd     : simplified dictionary
# pgs       = page in reference work
# t         = w=wordsign, p=phrase, -=normal
# d         = difficulty to write (simple, moderate, hard)
# s         = simplification (*=made harder by simplified, -=consistent)
# -
# -
# co        = commonality (01=top100, 05=top500, 10=top1000, 50=top5000)
#

#-------english-------- | --------gregg--------- | rf pgs t |  d  s  -  -  co  |
skill                   | >.s.k.l                | pb 082 - |  s  *  -  -  --  |
our                     | >.r                    | a5 001 - |  -  -  -  -  --  |
the                     | >.th                   | a5 001 - |  -  -  -  -  --  |
their                   | >.ht                   | a5 001 - |  -  -  -  -  --  |
there                   | >.ht                   | a5 001 - |  -  -  -  -  --  |
well                    | >.l                    | a5 001 - |  -  -  -  -  --  |
will                    | >.l                    | a5 001 - |  -  -  -  -  --  |
willing                 | >.l.>                  | a5 001 - |  -  -  -  -  --  |
wound                   | >.d                    | a5 001 - |  -  -  -  -  --  |

ache                    | >.a.k                  | a5 001 - |  -  -  -  -  --  |
acre                    | >.a.k.r                | a5 001 - |  -  -  -  -  --  |
air                     | >.a.r                  | a5 001 - |  -  -  -  -  --  |
ear                     | >.E.r                  | a5 001 - |  -  -  -  -  --  |
egg                     | >.e.g                  | a5 001 - |  -  -  -  -  --  |
gay                     | >.g.a                  | a5 001 - |  -  -  -  -  --  |
glee                    | >.g.l.e                | a5 001 - |  -  -  -  -  --  |
gray                    | >.g.r.A                | a5 001 - |  -  -  -  -  --  |
hair                    | >.>.A.r                | a5 001 - |  -  -  -  -  --  |
hear                    | >.>.E.r                | a5 001 - |  -  -  -  -  --  |
hearing                 | >.>.E.r.>              | a5 001 - |  -  -  -  -  --  |
her                     | >.E.r                  | a5 001 - |  -  -  -  -  --  |
here                    | >.>.F.r                | a5 001 - |  -  -  -  -  --  |
hill                    | >.>.E.l                | a5 001 - |  -  -  -  -  --  |
hurry                   | >.>.E.r.e              | a5 001 - |  -  -  -  -  --  |
ill                     | >.E.l                  | a5 001 - |  -  -  -  -  --  |
key                     | >.k.e                  | a5 001 - |  -  -  -  -  --  |
lay                     | >.l.A                  | a5 001 - |  -  -  -  -  --  |
laying                  | >.l.A.>                | a5 001 - |  -  -  -  -  --  |
tree                    | >.t.r.e                | a5 001 - |  -  -  -  -  --  |

#page 02
add                     | >.a.d                  | a5 002 - |  -  -  -  -  --  |
adding                  | >.a.d.>                | a5 002 - |  -  -  -  -  --  |
aid                     | >.a.d                  | a5 002 - |  -  -  -  -  --  |
aim                     | >.a.m                  | a5 002 - |  -  -  -  -  --  |
ate                     | >.a.t                  | a5 002 - |  -  -  -  -  --  |
day                     | >.d.a                  | a5 002 - |  -  -  -  -  --  |
eat                     | >.e.t                  | a5 002 - |  -  -  -  -  --  |
eating                  | >.e.t.>                | a5 002 - |  -  -  -  -  --  |
had                     | >.>.a.d                | a5 002 - |  -  -  -  -  --  |
hat                     | >.>.a.t                | a5 002 - |  -  -  -  -  --  |
hate                    | >.>.a.t                | a5 002 - |  -  -  -  -  --  |
head                    | >.>.e.d                | a5 002 - |  -  -  -  -  --  |
heading                 | >.>.e.d.>              | a5 002 - |  -  -  -  -  --  |
heat                    | >.>.e.t                | a5 002 - |  -  -  -  -  --  |
heating                 | >.>.e.t.>              | a5 002 - |  -  -  -  -  --  |
hem                     | >.>.e.m                | a5 002 - |  -  -  -  -  --  |
hen                     | >.>.e.n                | a5 002 - |  -  -  -  -  --  |
him                     | >.e.m                  | a5 002 - |  -  -  -  -  --  |
hit                     | >.>.e.t                | a5 002 - |  -  -  -  -  --  |
knee                    | >.n.e                  | a5 002 - |  -  -  -  -  --  |
may                     | >.m.a                  | a5 002 - |  -  -  -  -  --  |
me                      | >.m.e                  | a5 002 - |  -  -  -  -  --  |
tea                     | >.t.e                  | a5 002 - |  -  -  -  -  --  |

cake                    | >.k.a.k                | a5 002 - |  -  -  -  -  --  |
calm                    | >.k.a.m                | a5 002 - |  -  -  -  -  --  |
came                    | >.k.a.m                | a5 002 - |  -  -  -  -  --  |
cane                    | >.k.a.n                | a5 002 - |  -  -  -  -  --  |
canning                 | >.k.a.n.>              | a5 002 - |  -  -  -  -  --  |
cat                     | >.k.a.t                | a5 002 - |  -  -  -  -  --  |
cattle                  | >.k.a.t.l              | a5 002 - |  -  -  -  -  --  |
claim                   | >.k.l.A.m              | a5 002 - |  -  -  -  -  --  |
clean                   | >.k.l.E.n              | a5 002 - |  -  -  -  -  --  |
cleaning                | >.k.l.E.n.>            | a5 002 - |  -  -  -  -  --  |
cream                   | >.k.r.E.m              | a5 002 - |  -  -  -  -  --  |
dairy                   | >.d.a.r.e              | a5 002 - |  -  -  -  -  --  |
dark                    | >.d.a.r.k              | a5 002 - |  -  -  -  -  --  |
deem                    | >.d.E.m                | a5 002 - |  -  -  -  -  --  |
drama                   | >.d.r.A.m.a            | a5 002 - |  -  -  -  -  --  |
dream                   | >.d.r.E.m              | a5 002 - |  -  -  -  -  --  |
drill                   | >.d.r.I.l              | a5 002 - |  -  -  -  -  --  |
gain                    | >.g.a.n                | a5 002 - |  -  -  -  -  --  |
gaining                 | >.g.a.n.>              | a5 002 - |  -  -  -  -  --  |
game                    | >.g.a.m                | a5 002 - |  -  -  -  -  --  |
gate                    | >.g.a.t                | a5 002 - |  -  -  -  -  --  |
get                     | >.g.e.t                | a5 002 - |  -  -  -  -  --  |
getting                 | >.g.e.t.>              | a5 002 - |  -  -  -  -  --  |
grain                   | >.g.r.a.n              | a5 002 - |  -  -  -  -  --  |
green                   | >.g.r.e.n              | a5 002 - |  -  -  -  -  --  |
keen                    | >.k.e.n                | a5 002 - |  -  -  -  -  --  |
kick                    | >.k.e.k                | a5 002 - |  -  -  -  -  --  |
kicked                  | >.k.e.k.d              | a5 002 - |  -  -  -  -  --  |
kid                     | >.k.e.d                | a5 002 - |  -  -  -  -  --  |
knit                    | >.n.e.t                | a5 002 - |  -  -  -  -  --  |
lame                    | >.l.a.m                | a5 002 - |  -  -  -  -  --  |
lean                    | >.l.e.n                | a5 002 - |  -  -  -  -  --  |
limit                   | >.l.e.m.e.t            | a5 002 - |  -  -  -  -  --  |
mad                     | >.m.a.d                | a5 002 - |  -  -  -  -  --  |
maid                    | >.m.a.d                | a5 002 - |  -  -  -  -  --  |
make                    | >.m.a.k                | a5 002 - |  -  -  -  -  --  |
making                  | >.m.a.k.>              | a5 002 - |  -  -  -  -  --  |
mark                    | >.m.A.r.k              | a5 002 - |  -  -  -  -  --  |
marking                 | >.m.A.r.k.>            | a5 002 - |  -  -  -  -  --  |
marry                   | >.m.A.r.e              | a5 002 - |  -  -  -  -  --  |
mat                     | >.m.a.t                | a5 002 - |  -  -  -  -  --  |
mate                    | >.m.a.t                | a5 002 - |  -  -  -  -  --  |
meal                    | >.m.E.l                | a5 002 - |  -  -  -  -  --  |
meat                    | >.m.e.t                | a5 002 - |  -  -  -  -  --  |

## page 03
meet                    | >.m.e.t                | a5 003 - |  -  -  -  -  --  |
meeting                 | >.m.e.t.>              | a5 003 - |  -  -  -  -  --  |
merry                   | >.m.E.r.E              | a5 003 - |  -  -  -  -  --  |
met                     | >.m.e.t                | a5 003 - |  -  -  -  -  --  |
mid                     | >.m.e.d                | a5 003 - |  -  -  -  -  --  |
middle                  | >.m.e.d.l              | a5 003 - |  -  -  -  -  --  |
milk                    | >.m.E.l.k              | a5 003 - |  -  -  -  -  --  |
mill                    | >.m.E.l                | a5 003 - |  -  -  -  -  --  |
nail                    | >.n.A.l                | a5 003 - |  -  -  -  -  --  |
neat                    | >.n.e.t                | a5 003 - |  -  -  -  -  --  |
neck                    | >.n.e.k                | a5 003 - |  -  -  -  -  --  |
need                    | >.n.e.d                | a5 003 - |  -  -  -  -  --  |
needing                 | >.n.e.d.>              | a5 003 - |  -  -  -  -  --  |
net                     | >.n.e.t                | a5 003 - |  -  -  -  -  --  |
rail                    | >.r.A.l                | a5 003 - |  -  -  -  -  --  |
